row_id,RA,DEC,p_final,q_group,status,nearest_catalog,nearest_sep_arcsec,my_grade,first_grade,lensjudge_grade,lj_lean_grade,lj_multi_grade,qualified,tier,disqualify_reason
s_399907_3947,217.47836418683733,12.043286154574295,0.7156771614192905,0.04784523169712127,KNOWN_REMOTE,curated,6464.699833887724,C,A,B,A,B,False,none,not-new (KNOWN_REMOTE)
s_137518_4818,31.358765955071974,-35.663183816165684,0.9354799236697019,0.03925693133019746,KNOWN_LOCAL,des_jacobs2019,0.14331920249095015,B,B,B,A,B,False,none,not-new (KNOWN_LOCAL)
s_240846_692,30.283193672248206,-15.85474439516622,0.897891351443126,0.03925693133019746,KNOWN_LOCAL,des_jacobs2019,0.05336017286896008,C,B,B,B,B,False,none,not-new (KNOWN_LOCAL)
s_137502_4157,26.44498174424456,-35.69096325914681,0.8924923726296325,0.03925693133019746,KNOWN_LOCAL,des_jacobs2019,0.19293805984131868,C,B,B,B,B,False,none,not-new (KNOWN_LOCAL)
s_69087_2171,307.2324536912458,-52.52179345884774,0.9646431053057505,0.03925693133019746,KNOWN_LOCAL,des_jacobs2019,0.08557500365394806,C,B,B,B,B,False,none,not-new (KNOWN_LOCAL)
s_154277_4252,39.873638490287796,-32.19158185440456,0.9693969435999614,0.03925693133019746,KNOWN_LOCAL,des_jacobs2019,0.16401620862756067,D,B,C,C,C,False,none,not-new (KNOWN_LOCAL)
s_102952_1920,334.8016950689797,-43.809781703350865,0.9787432908345075,0.03925693133019746,KNOWN_LOCAL,des_jacobs2019,0.14603579705243971,D,B,C,C,C,False,none,not-new (KNOWN_LOCAL)
s_275971_3562,26.733388275926618,-9.497876469972054,0.7053418147721945,0.04784523169712127,KNOWN_LOCAL,des_jacobs2019,0.33104480710585316,D,A,D,C,D,False,none,not-new (KNOWN_LOCAL)
s_388339_3702,154.5421792727805,10.065718967194217,0.6694103313840156,0.04784523169712127,NEW,huang2021,4547.757959781976,D,B,C,B,C,False,none,both<B
s_491286_2332,180.36161135736134,29.011630282792108,0.8817480004267997,0.03925693133019746,NEW,storfer2024,2782.4774503719073,D,B,C,B,C,False,none,both<B
s_35455_3766,24.218251507819023,-63.22978390219127,0.758463163042995,0.03925693133019746,NEW,storfer2024,2597.0307055380904,C,B,C,B,C,False,none,both<B
s_73683_3928,357.37530997410585,-51.22755221747164,0.9465829881169292,0.03925693133019746,KNOWN_LOCAL,des_jacobs2019,0.2358078092187334,D,B,C,B,C,False,none,not-new (KNOWN_LOCAL)
s_128249_3559,22.510017499030763,-37.74929129315511,0.7983471685280467,0.03925693133019746,NEW,storfer2024,5.851224209986538,D,B,D,C,D,False,none,both<B
s_34869_6396,57.56168685463461,-63.38639323514522,0.7137621832358676,0.04784523169712127,NEW,storfer2024,784.6500137620375,C,C,C,C,,False,none,both<B
s_194944_7052,59.20444067247369,-24.144726272608725,0.8965940578968276,0.03925693133019746,KNOWN_LOCAL,des_jacobs2019,0.23338357851570524,D,B,C,B,C,False,none,not-new (KNOWN_LOCAL)
s_289562_2713,218.24684404355642,-7.228052335136205,0.6667369093231162,0.04784523169712127,NEW,huang2021,5.877752468035229,C,C,C,C,,False,none,both<B
s_36700_69,347.9904611258939,-63.117586417746224,0.8126492023736998,0.03925693133019746,NEW,storfer2024,5719.560446391092,C,C,C,B,C,False,none,both<B
s_487573_3958,204.60564897950346,28.329434793331973,0.9787432908345075,0.03925693133019746,KNOWN_REMOTE,curated,4027.2318395037,C,B,D,C,D,False,none,not-new (KNOWN_REMOTE)
s_434390_1024,140.35727323931476,18.17152237605227,0.7179593995992437,0.04784523169712127,KNOWN_REMOTE,curated,1939.9805550476967,D,B,D,D,D,False,none,not-new (KNOWN_REMOTE)
s_380761_3680,36.23558004251781,8.828665384579525,0.6735229648133803,0.04784523169712127,NEW,huang2021,7.394399159671647,D,B,D,B,D,False,none,both<B
s_264802_1671,69.00215228339208,-11.547735490124976,0.8900995492977308,0.03925693133019746,NEW,huang2021,5.123985400795499,D,B,D,D,D,False,none,both<B
s_96761_2587,335.77319619960303,-45.28910654767292,0.8438123689277962,0.03925693133019746,NEW,storfer2024,2600.6338444691405,C,C,C,C,,False,none,both<B
s_70206_4718,42.20662877640783,-51.888121392562894,0.8628245367286007,0.03925693133019746,NEW,storfer2024,1355.7647764747753,C,C,C,C,,False,none,both<B
s_461308_2690,125.62839189107191,23.253081352452533,0.8141935172001616,0.03925693133019746,NEW,inchausti2025,3173.8639974439484,C,C,C,C,,False,none,both<B
s_103171_4088,50.099304988529376,-43.39535906069162,0.8049343291693335,0.03925693133019746,NEW,storfer2024,1906.3292127179336,C,C,C,C,,False,none,both<B
s_449370_1305,149.5082800545269,20.952332336152345,0.789468527658306,0.03925693133019746,NEW,curated,3989.750777916511,C,B,D,B,D,False,none,both<B
s_416522_293,165.036807814489,14.88889295610395,0.763546571553216,0.03925693133019746,NEW,curated,2623.1060715467097,C,C,C,C,,False,none,both<B
s_53492_2038,60.35827167104702,-57.03374406533589,0.6676275680114334,0.04784523169712127,NEW,storfer2024,2922.6102405049473,C,C,C,C,,False,none,both<B
s_413942_1266,218.91556247716906,14.441282971821554,0.9160768743381912,0.03925693133019746,NEW,huang2021,2049.321633423429,C,C,C,C,,False,none,both<B
s_325890_4862,320.7166590583172,-0.9970444844516885,0.8289450418328697,0.03925693133019746,KNOWN_REMOTE,storfer2024,2782.895834919476,D,B,D,D,D,False,none,not-new (KNOWN_REMOTE)
s_444127_3062,192.04368035081112,20.057101115504906,0.7267212280476574,0.04784523169712127,NEW,curated,3878.355216530112,C,C,D,D,,False,none,both<B
s_492606_1524,197.70350355602272,29.21424921908636,0.6683004442639604,0.04784523169712127,NEW,curated,2330.542155859822,C,C,C,C,,False,none,both<B
s_400427_1729,350.13365745531684,11.94206152133835,0.8116998934590745,0.03925693133019746,NEW,huang2021,924.5755213614477,C,C,C,C,,False,none,both<B
s_323786_170,154.69719029837057,-1.3590449337736596,0.9439102348050781,0.03925693133019746,KNOWN_REMOTE,curated,3260.2201482066794,C,C,C,C,,False,none,not-new (KNOWN_REMOTE)
s_69159_990,336.7600316411536,-52.5568122310617,0.8679715131161785,0.03925693133019746,NEW,curated,2203.751875972841,C,C,C,C,,False,none,both<B
s_381354_1469,186.26574708643648,8.695814431198928,0.6938858461953513,0.04784523169712127,NEW,inchausti2025,2977.0320388932946,C,C,C,C,,False,none,both<B
s_124914_5199,44.03264980195928,-38.420143570140716,0.810735407284031,0.03925693133019746,NEW,storfer2024,2686.3433273984438,C,C,C,C,,False,none,both<B
s_275866_4901,0.1603300655922147,-9.381385032268085,0.7013914656771799,0.04784523169712127,NEW,storfer2024,3464.619803693577,C,C,C,C,,False,none,both<B
s_113881_1195,61.41698065193706,-41.07906624160016,0.6820495596357665,0.04784523169712127,NEW,storfer2024,4001.549888819811,C,C,C,C,,False,none,both<B
s_156800_3322,62.95699651500806,-31.748408994524024,0.9654495751789087,0.03925693133019746,KNOWN_LOCAL,des_jacobs2019,0.56302040723738,C,C,C,C,,False,none,not-new (KNOWN_LOCAL)
s_181948_3124,63.178995121379025,-26.775594998165754,0.9657862685607149,0.03925693133019746,KNOWN_LOCAL,des_jacobs2019,0.7501444307137499,C,C,C,B,C,False,none,not-new (KNOWN_LOCAL)
s_404217_3393,239.4937382956604,12.78982828630045,0.7200834487995429,0.04784523169712127,NEW,curated,6019.186150611158,C,C,C,C,,False,none,both<B
s_497013_333,23.668183370225346,30.28931812831132,0.7071713938948894,0.04784523169712127,NEW,curated,2597.8214072071532,C,C,C,C,,False,none,both<B
s_224419_7601,53.74333243047281,-18.643892298847852,0.8079150657229525,0.03925693133019746,KNOWN_LOCAL,des_jacobs2019,0.5874938602923702,C,C,C,C,,False,none,not-new (KNOWN_LOCAL)
s_444200_1322,211.57178156737749,19.948169730277066,0.7119278505687566,0.04784523169712127,NEW,curated,3815.943806543206,C,C,C,C,,False,none,both<B
s_500141_5316,208.83803657058203,30.867982607745365,0.6917904684021626,0.04784523169712127,NEW,curated,3793.331193510454,C,C,C,C,,False,none,both<B
s_336759_2258,157.90807339523585,0.9905206571741866,0.8190026407187346,0.03925693133019746,NEW,curated,2756.818073606562,C,C,C,C,,False,none,both<B
s_143452_4407,43.258325967289366,-34.43974452700821,0.7710103959596861,0.03925693133019746,NEW,curated,3680.2084013822773,C,C,C,C,,False,none,both<B
s_97780_1421,334.805359551368,-45.08067701065447,0.8561157816560021,0.03925693133019746,KNOWN_LOCAL,des_jacobs2019,0.6036930833944986,C,C,C,C,,False,none,not-new (KNOWN_LOCAL)
s_393545_3136,36.53868622983393,11.051831612294322,0.735379371310704,0.04784523169712127,NEW,curated,3999.2783256548623,C,C,C,C,,False,none,both<B
s_406989_1464,230.22799097075364,13.1999796733476,0.9455442217331826,0.03925693133019746,NEW,storfer2024,1340.9392072707267,C,C,C,C,,False,none,both<B
s_410935_3928,164.12044172024832,14.060583469143427,0.9031888440036632,0.03925693133019746,NEW,curated,6699.600835446537,C,C,C,C,,False,none,both<B
s_32262_4021,15.077298744907377,-64.48482270680056,0.676146200088775,0.04784523169712127,NEW,inchausti2025,4020.3187648173357,C,C,C,C,,False,none,both<B
s_53346_2805,353.70148348862114,-57.25105048112585,0.9618389001396622,0.03925693133019746,KNOWN_LOCAL,des_jacobs2019,0.2413668071373594,C,C,C,C,,False,none,not-new (KNOWN_LOCAL)
s_169248_562,70.62360069408398,-29.344692299168152,0.9097305129251273,0.03925693133019746,KNOWN_LOCAL,des_jacobs2019,0.12538740872457335,C,C,C,C,,False,none,not-new (KNOWN_LOCAL)
s_99883_3820,351.5868766643111,-44.45291515129994,0.9054114401359374,0.03925693133019746,NEW,storfer2024,7591.834634554753,C,C,C,C,,False,none,both<B
s_260341_3684,9.979754506897441,-12.209633292715251,0.8716943057374559,0.03925693133019746,NEW,storfer2024,3226.166874425319,C,C,C,C,,False,none,both<B
s_289350_4573,164.805122772833,-7.144867677564192,0.855047285166895,0.03925693133019746,NEW,huang2021,4397.047381893339,C,C,C,B,C,False,none,both<B
s_349862_5467,194.01149272891342,3.314694068458646,0.8524293846465554,0.03925693133019746,NEW,curated,2040.8601565565318,C,C,C,C,,False,none,both<B
s_87753_3836,328.94489287469196,-47.45757670875966,0.7276592063753003,0.04784523169712127,NEW,inchausti2025,1811.1088877780955,C,C,C,C,,False,none,both<B
s_317498_5418,22.724165373386302,-2.198439480613601,0.7164470851631792,0.04784523169712127,NEW,huang2021,1101.3760186044908,C,C,C,C,,False,none,both<B
s_148363_5711,81.63067568301744,-33.40686241063815,0.7081828084769262,0.04784523169712127,NEW,storfer2024,3915.15486913933,C,C,C,C,,False,none,both<B
s_449370_1303,149.50964482449427,20.95311161292903,0.6942219533508099,0.04784523169712127,NEW,curated,3986.906553809515,C,C,C,C,,False,none,both<B
s_238105_2609,37.758931623333986,-16.29318837702292,0.6730690874994673,0.04784523169712127,NEW,curated,2985.242774104243,C,C,C,C,,False,none,both<B
s_77370_3972,4.704368399204419,-49.90947767947953,0.6912359098228664,0.04784523169712127,NEW,storfer2024,2766.5380896213996,D,D,C,B,C,False,none,both<B
s_239446_2465,26.72509724455531,-16.046197846947898,0.7495510757002379,0.04784523169712127,NEW,huang2021,3860.36389117403,C,C,C,C,,False,none,both<B
