row_id,TARGETID,RA,DEC,Z,SPECTYPE,status_fits,bytes_fits,attempts_fits
neg_00000000,39627866756876270,209.65855715396788,3.2106971252638496,0.13511144430930472,GALAXY,fail: HTTP 429,0,5
neg_00000001,39628502852440311,268.12420078047853,30.90665075462835,0.7752180391187088,GALAXY,ok,126720,1
neg_00000002,39627933354035882,229.31904285863234,6.042393539250863,1.292295728035119,QSO,ok,126720,1
neg_00000003,39627824344074137,201.3366517598549,1.5420879164573056,0.5257872322697311,GALAXY,fail: HTTP 429,0,5
neg_00000004,39627895789852196,142.8644198797013,4.391063942174624,1.0304533955270296,GALAXY,ok,126720,1
neg_00000005,39628509819176497,32.576974851089844,31.445240530357555,0.6112749000034933,GALAXY,ok,126720,1
neg_00000006,39627800663033146,229.80947723452275,0.5276158869096487,0.15614343612585557,GALAXY,ok,126720,1
neg_00000007,39627622765825504,49.70705547485388,-6.775245613148417,0.172275251757026,GALAXY,ok,126720,1
neg_00000008,39627526884042476,30.489592450117254,-10.689413022269113,1.0486145925144073,GALAXY,ok,126720,1
neg_00000009,39627857093198577,353.2796296971922,2.7941977034574546,1.0438824355767435,GALAXY,ok,126720,1
neg_00000010,39628101872779627,331.54806395232515,13.069978724903486,0.2899371387037706,GALAXY,ok,126720,1
neg_00000011,39627763337922612,165.08330260728837,-0.9912082239241786,0.10236433533947188,GALAXY,ok,126720,1
neg_00000012,39089837395048199,150.26530759715737,1.8732711346071431,0.529335139222406,GALAXY,ok,126720,1
neg_00000013,39627734057485678,219.80581389081757,-2.1559922705160437,0.2740895112476108,GALAXY,ok,126720,1
neg_00000014,39627805058662958,131.77467220134457,0.6650995634836334,0.12892234096691244,GALAXY,ok,126720,1
neg_00000015,39627829121390001,126.18303007833514,1.788578773291692,1.2735953854899644,QSO,ok,126720,1
neg_00000016,39628212946341438,354.7177008996629,17.82423351154785,1.4382398512701946,QSO,ok,126720,1
neg_00000017,39628102539676576,12.465518330191243,13.36407531427989,0.13010757356941768,GALAXY,ok,126720,1
neg_00000018,39627766244573345,338.2534534079674,-0.9445489289022672,0.32857459438274733,GALAXY,ok,126720,1
