kit_id,item_id,presentation_index,unit_id,candidate_id,pass,repeat_of_item,render_sha,layout,stratum
jwst_lite_v1,393,1,u0115,J22963308-8151071,1,,a7c04ab83b2e4814,color,D_refuted
jwst_lite_v1,653,2,u0181,J15001911+259543,1,,0c681b07240a7106,color,K_cowls
jwst_lite_v1,451,3,u0022,J14977486+224978,1,,e24d67c0fe8a8d12,color,T_U
jwst_lite_v1,067,4,u0093,J6928514+070232,1,,62d5ab821623f9eb,color,T_U
jwst_lite_v1,438,5,u0006,J17710747+5286937,1,,6b08d3dfef0c4380,color,D_refuted
jwst_lite_v1,141,6,u0111,J4429240-2347200,1,,3f12fd77f73fb52d,color,T_U
jwst_lite_v1,668,7,u0048,J15071855+269043,1,,ff436a97ce28a154,gray_sw_only,N_unflagged
jwst_lite_v1,044,8,u0236,J805529+1810939,1,,aaf4ec4290e667a4,color,D_refuted
jwst_lite_v1,531,9,u0191,J8831331-3369558,1,,fa0cc797a32a5a85,color,U_tail
jwst_lite_v1,723,10,u0183,J710586-7562357,1,,c6d6c2c97d1d5640,color,T_verified
jwst_lite_v1,912,11,u0161,J8831663-3370788,1,,93382562b3bfcfc3,color,D_refuted
jwst_lite_v1,769,12,u0102,J33372744-1401097,1,,85fd9ca55846dd6f,color,T_verified
jwst_lite_v1,958,13,u0040,J16305610+3001292,1,,a5df7137032b7837,color,T_U
jwst_lite_v1,081,14,u0025,J6403185-2403539,1,,ca71b479a1809d8d,color,U_tail
jwst_lite_v1,059,15,u0196,J4784995-5841089,1,,2e9e92d21846d425,color,T_U
jwst_lite_v1,898,16,u0090,J9003772-2015513,1,,21a9991128a0dd9c,color,T_U
jwst_lite_v1,367,17,u0001,J11454711+6555180,1,,4365ad3c3f0cc38d,color,U_tail
jwst_lite_v1,077,18,u0030,J21483295+5282544,1,,f52fedad0cbccf66,color,T_U
jwst_lite_v1,378,19,u0042,J18030075+2309921,1,,ae4a4c0f6f8dea8c,gray_sw_only,T_verified
jwst_lite_v1,485,20,u0230,J20853843+7726394,1,,67f8c4aee6a7b5ea,color,D_refuted
jwst_lite_v1,041,21,u0171,J2451719-2192351,1,,87818d04f8daaa81,color,L_known
jwst_lite_v1,108,22,u0118,J4202043-352281,1,,1e1bdf6fa403c185,color,L_known
jwst_lite_v1,479,23,u0055,J3807110-4434755,1,,56ed3a0998048ea1,color,T_U
jwst_lite_v1,402,24,u0209,J23749412-7819092,1,,822ea4f9e6983a69,color,L_known
jwst_lite_v1,324,25,u0226,J15057245+223798,1,,8731bed9e6992c3a,color,T_U
jwst_lite_v1,547,26,u0008,J803366+1819844,1,,b79dd184a586c93a,color,D_refuted
jwst_lite_v1,283,27,u0126,J26842354+6529667,1,,9642b7c03cead065,color,U_tail
jwst_lite_v1,948,28,u0065,J8730424-6207661,1,,2f32cf72b520f725,color,D_refuted
jwst_lite_v1,907,29,u0165,J15005804+238042,1,,1f6d7d84ee50447f,color,L_known
jwst_lite_v1,918,30,u0074,J3996679-159719,1,,a9b6ac4dc9cc4849,color,T_U
jwst_lite_v1,591,31,u0214,J14984222+230342,1,,7d4e39e528160df6,color,K_cowls
jwst_lite_v1,218,32,u0224,J31352710-005281,1,,94c126c0ec2afe68,color,T_U
jwst_lite_v1,070,33,u0176,J4637336-3182658,1,,77ed11a9002b8a60,color,T_U
jwst_lite_v1,391,34,u0031,J15424410+3903685,1,,a38411ea52f8ee7e,color,T_U
jwst_lite_v1,226,35,u0242,J15041998+210898,1,,22906838e028ecb8,color,K_cowls
jwst_lite_v1,033,36,u0129,J4006002-161474,1,,a12aabc6cb106ec2,color,T_verified
